judge,paradigm
Manoj,"I am a parent judge, judging for over 3 years. I evaluate argumentative logic first and care
about evidence quality and evidence ethics. Speaking presentation and style are for
speaker points but do not substantively impact who wins or loses the debate. Please don't
spend less time arguing about technicalities, more time debating. Please do not
paraphrase when you first introduce evidence. Also, please don't speed-read."
Kika,
Pingdong,"I am a parent/lay judge, Although I have been judging for a few years, I am still not as
familiar with all the debate jargons.
I would like you to make it extremely clear to me, what is most important in this round. I
may not be able to flow every single thing you say, but if you continue to repeat the most
important things, I will note it down."
Rory,"anr2@bxscience.edu
Debated for 3 years in LD at Bronx Science. I don't debate in college.
Generally prefer listening to lay arguments (haven't debated in a while) but I'm fine with
spreading if you send the doc (which you probably should anyways). Or circuit arguments
as long as you're not dumping offs.
Give a roadmap before your speech, signpost, weigh, slow down on the tags you want to
emphasize, a.k.a. make your route to the ballot as clear as possible. Just make it easy for
me to vote for you!
Don't be rude to your opponent. I will not vote on arguments about their character
(callouts and whatnot), especially for things outside of the debate."
Swapna,"hello! i am a lay parent judge!
please speak slowly and clearly so I can easily note down everything you say.
i'm not an experienced judge and i only know the bare minimums of public forum debate.
i'll do my best to be really fair, good luck for your rounds!"
Kirti,"I am somewhat experienced in speech and debate. I prefer use of technical language over
jargons.
I will be open to hear both sides of the arguments and open to new ideas.
I will be taking notes on key argument during the process. Please speak slowly and clearly."
Brendan,
Denzel,"Hey,
My E-Mail is dbell212518@gmail.com (for docs),
Read by AI policy at the bottom
PF: I'm a hyper tech judge I do policy debate in college i'll vote on any absurdity I will catch
anything at any speed it's fine for the most part but ofc you have to be clear
(Policy)
tech>truth (unless it's absurdly stupid)
I'm not bias, I haven't been in the activity long enough to develop preferences for
everything, just be explanative and argue it well and I can vote on it.
THEORY
My only opinion that differs is on theory: ''condo bad, pics bad, 50 state fiat bad'' ect... is
almost never a reason to reject a team but almost always a good reason to reject an
argument.
Generics
Try your hardest not to drop arguments, dropped arguments are considered true and I will
vote on that.
Try your hardest to articulate why I should vote for your stance,
Don't just say ""we are winning on xyz"" then move on. Spend some time on the 'why' even if
it is just 20 seconds.
In the last speeches spell out why you are winning and why the other side is losing.
Basically, project what my ballot should be through proper explanation of your warrants.
Don't assume I know what you're talking about when you explain something (as should
with any other judge), in cases where I do know what you're talking about from experience
out of round it's unlikely that I'll vote on an unexplained argument.
Have fun, don't be overly bearing in crossx it's annoying and corny, if you have a point that
you think you're winning in cross x you don't have to be rude to make me realize that.
If you debate more off of the flow (doesn't mean you have to be actively looking at it, I can
tell if you're debating off of the flow) huge speak boost.
AI: (Highschool) (policy/pf)
AI use is very noticeable to me, I graduated high school last year I know when you're using
it every single time, if the other team is doing clear thought out line by line and speeches
of their own, I will HEAVILY lean on their side on every single flow even negating tech to
some extent because as a judge I believe this is one of the only things my ballot and
evaluate can actually prevent/solve.
Chat gpt in Highschool rounds is for the most part, very cringe, you won't learn anything if
you don't have to mentally process what you're interacting with. I'll probably only nuke
your speaks if I realize that your ENTIRE speech is chat gpt. Its use is inevitable, therefor
using it in round to explain confusing arguments/extend 1 off cards on the fly can be fine
most of the times, but if your prep is just you copying your opponent's entire speech into
the prompt and typing ''pls respond,'' then don't do debate... it's not that serious. But I find
that in most rounds both teams are using it so it's hard to reflect that in speaks/ballot. If I
can tell all of the args are yours, you will get big speak boost like at least a flat 28.5
Ken Bhardwaj Hire 4 rounds 
Add me to the email chain: kenbhardwaj2@gmail.com
Please let me know if I can do anything to accommodate you in your round.
About Me:
Two years of experience at Coral Academy in Public Forum (dabbled in DUO, LD, EXT, XDB,
and WSD); competed nationally for one year went to the TOC and won the Nevada State
Championship. Now I’m a pre-med sophomore at the University of Nevada, where I’m
studying Neuroscience and Journalism.
PARADIGM
Novices: Be good on the flow and don't be offensive. I give out good speaks for impactful
endings, jokes, personality, and efficiency. There are other ways to get good speaks, but
without one of those, a 30 is hard to attain.
TLDR: Reasonably Tech > Truth. I like weighing. 50/50 chance I adapt on a lay panel. Write
my RFD for me in the last speech.I'll disclose my decision (if tournament rules allow for it)
and give some level of feedback.
Pref Sheet:
1 — Tech Substance
2 — Phil, Theory
3 — Stock/Topical K's
4 — T, Identity K's
5 — Tricks
Prep Time:
Track your own time, I trust you won't lie to me. Flex prep is fine.
Evidence:
Make the evidence exchange quick. I may take a peek at your cards, but I won't do
anything about it unless the other team calls it out. If you get caught paraphrasing in an
extreme manner, I'll dock speaks accordingly. Engaging with evidence is important.
Speeches:
You can speak at a faster speed. Do send me docs, but I won't use it as an aid during your
speech. You get two clears before I stop flowing. Recently I've found that timing speeches
tends to slow my flow, so please raise your phone for overtime responses.
Cross:
Nothing said in cross goes on my flow unless it's brought forward into subsequent
speeches. Be assertive, but not overly aggressive. A good cross will benefit your speaks,
even if you lose the round overall. If everyone is in agreement we can skip grand for a
minute of extra prep. Open cross is fine if that's your preference, just make sure to ask the
other team first.
2nd Rebuttal:
2NC disads are fine. Roadmap, signpost, and frontline. If no frontlining, you'll lose and I'll
be sad. Generated offense here has to be in the form of turns, no new disads, no new
framing.
Summary:
No new evidence. (Unless it's to frontline in first summary)
Defense isn't sticky. Extend defense in every speech; you can't forget to extend a piece of it
in summary and do a ritual in final focus to summon it. I should be able to draw a line
from the 2AC to the 2AR.
Extensions don't have to be perfect. As long as you extend uniqueness, links, and impact,
you're good. Line-by-line frontlines count as extensions. Collapsing is good here
Weighing is important. I like seeing comparisons between evidence, impact scenarios, and
links. This means that the weighing has to be comparative. Weighing is not ""we cause a
nuclear war"" and nothing else. I want to hear ""We outweigh on timeframe because our
impact triggers instantly while theirs takes x years"" – that's direct. If teams present
different weighing mechanisms, please meta-weigh. If neither side meta-weighs, I default
to timeframe + magnitude.
Final Focus:
Everything in FF should've been in summary.
I just want a solid explanation as to why you won the round. You can do it line by line, or
go by biggest voting issues. Just make sure you're extending what was said in summary.
Framing:
I like a good framing debate. I won't accept ""Other team has to respond in their
constructive"" or ""Other teams can't read link-ins to the framing"" as underviews or general
responses.
Theory:
Disclosure is good, paraphrasing is bad. if there's no offense from either side I err to those
positions, but won't hack for them. If you're varsity anything is fair game, ""theory is dumb""
and ""we don't know how to respond"" are non-responses.
I won't vote theory down simply because it isn’t formatted the 'correct' way. If there is an
allegation of abuse and that abuse is substantiated, I will treat it the same way I would a
shell. Be sure to explain why they should lose the round, not just the argument.
Content Warnings:
They're okay, but I think there is a very real risk of it being co-opted by structural
oppressors to suppress marginalized voices, as history has shown with the censorship of
civil rights, queer, and feminist discourse. While I acknowledge the real impact of trauma, I
fear that empowering gatekeepers to restrict speech does more harm than good,
reinforcing systemic oppression rather than dismantling it. That being said, I'm not
debating you on whether the argument has validity or not, I will listen to and engage with
the argument, I just think you should be wary of running it in front of me.
K's:
Just send a doc so I can follow along. Cross is important in these rounds. I won't vote on
something I don't understand because you tell me I'm supposed to. Don't run Afro-pess if
you're not Black, don't run Fem-Rage if you're not female-identifying.
Speaks:
I generally give high speaks (28 - 29.5 range), but it's not impossible to get a 30 from me.
Have a good strategy (like going for turns, innovative weighing), have a personality, and
you'll be guaranteed high speaks. A Taylor Swift reference gets a +0.1, stackable to 0.5.
If you have further questions about why I voted a certain way, you can email me and I'll get
back to you as soon as I can. If you have any questions not covered by this paradigm, feel
free to hit up the email at the top or ask me before the round starts.
Good luck, have fun, and do your best!"
Jamie,"Send speech docs: brashearjamie@gmail.com
I am a fairly experienced lay judge who can follow spreading.
If you believe the other side has dropped a contention, I encourage you to point that out.
If there is a problem with the other side’s evidence, call it to my attention. I will examine
the evidence in those cases."
Venkat,I am a parent judge.
Jing,"I am a lay parent judge.
I judge the debate based on clear and consistent speeches and which side provides more
substantial supporting evidences."
